gain,model,case,CPT,NRMS
L3,Actual,PC12,CPT15,0.0015709850121598272
L3,Actual,PC12,CPT16,0.0013250814963822726
L3,Actual,PC12,GLOBAL,0.001635770276434674
L3,Linear,PC12,CPT2,0.006058244402529022
L3,Linear,PC12,CPT3,0.003292061461120513
L3,Linear,PC12,CPT4,0.0024420403795765116
L3,Linear,PC12,CPT5,0.0041419601644401595
L3,Linear,PC12,CPT6,0.0011854546245871089
L3,Linear,PC12,CPT7,0.0027590866193663963
L3,Linear,PC12,CPT8,0.0025729139675345794
L3,Linear,PC12,CPT9,0.005511288967866494
L3,Linear,PC12,CPT10,0.003289437082712634
L3,Linear,PC12,CPT11,0.005034711344855596
L3,Linear,PC12,CPT12,0.003693275177409795
L3,Linear,PC12,CPT13,0.00173605275841843
L3,Linear,PC12,CPT15,0.0045188639218741505
L3,Linear,PC12,CPT16,0.003930760132282475
L3,Linear,PC12,GLOBAL,0.003819728753146821
L3,Quadratic,PC12,CPT2,0.008143529262987248
L3,Quadratic,PC12,CPT3,0.006667624196326942
L3,Quadratic,PC12,CPT4,0.007574919771054555
L3,Quadratic,PC12,CPT5,0.0011682683435611017
L3,Quadratic,PC12,CPT6,0.007482157691949283
L3,Quadratic,PC12,CPT7,0.006401192385057381
L3,Quadratic,PC12,CPT8,0.006703259423871226
L3,Quadratic,PC12,CPT9,0.006251430266231918
L3,Quadratic,PC12,CPT10,0.004787826545060095
L3,Quadratic,PC12,CPT11,0.0038641764609191054
L3,Quadratic,PC12,CPT12,0.0021442610704323537
L3,Quadratic,PC12,CPT13,0.00521877331166501
L3,Quadratic,PC12,CPT15,0.003983409630915178
L3,Quadratic,PC12,CPT16,0.005699871572805385
L3,Quadratic,PC12,GLOBAL,0.005685468803624139
M3,Actual,PC12,CPT2,0.003374749199281263
M3,Actual,PC12,CPT3,0.0015323715239043151
M3,Actual,PC12,CPT4,0.0010064642643716024
M3,Actual,PC12,CPT5,0.0009247307903684527
M3,Actual,PC12,CPT6,0.0006127536506379817
M3,Actual,PC12,CPT7,0.0013552854955678794
M3,Actual,PC12,CPT8,0.0008203730145338532
M3,Actual,PC12,CPT9,0.001653430612003722
M3,Actual,PC12,CPT10,0.000838659626213416
M3,Actual,PC12,CPT11,0.0007008635244880407
M3,Actual,PC12,CPT12,0.0019359328922283294
M3,Actual,PC12,CPT13,0.0016836305322512973
M3,Actual,PC12,CPT15,0.00151386091956654
M3,Actual,PC12,CPT16,0.0015385358788878084
M3,Actual,PC12,GLOBAL,0.0015658858013333481
M3,Linear,PC12,CPT2,0.010279455355516472
M3,Linear,PC12,CPT3,0.0017162755994928505
M3,Linear,PC12,CPT4,0.003553313681816718
M3,Linear,PC12,CPT5,0.0010601040032274611
M3,Linear,PC12,CPT6,0.0032054001146358114
M3,Linear,PC12,CPT7,0.003722013334491497
M3,Linear,PC12,CPT8,0.0009704722738211526
M3,Linear,PC12,CPT9,0.004056243872596538
M3,Linear,PC12,CPT10,0.0010488670529177084
M3,Linear,PC12,CPT11,0.006197521820381492
M3,Linear,PC12,CPT12,0.0025262079049970495
M3,Linear,PC12,CPT13,0.006352755316726536
M3,Linear,PC12,CPT15,0.0027501978988822536
M3,Linear,PC12,CPT16,0.0015771761668643281
M3,Linear,PC12,GLOBAL,0.004278294243661129
M3,Quadratic,PC12,CPT2,0.011430336811141077
M3,Quadratic,PC12,CPT3,0.0023702205633990853
M3,Quadratic,PC12,CPT4,0.0023273128059920077
M3,Quadratic,PC12,CPT5,0.0014357634478801879
M3,Quadratic,PC12,CPT6,0.00140510775876694
M3,Quadratic,PC12,CPT7,0.0024865761923794486
M3,Quadratic,PC12,CPT8,0.0009142541661364171
M3,Quadratic,PC12,CPT9,0.0020187525415302486
M3,Quadratic,PC12,CPT10,0.002269238970916902
M3,Quadratic,PC12,CPT11,0.0007838771600327739
M3,Quadratic,PC12,CPT12,0.0023056044658259314
M3,Quadratic,PC12,CPT13,0.007111753938352096
M3,Quadratic,PC12,CPT15,0.002201320342082751
M3,Quadratic,PC12,CPT16,0.0019214472417310524
M3,Quadratic,PC12,GLOBAL,0.004075644304412112
H3,Actual,PC12,CPT2,0.004284799614554217
H3,Actual,PC12,CPT3,0.002308921453313123
H3,Actual,PC12,CPT4,0.0009040386380320167
H3,Actual,PC12,CPT5,0.0015045987916810107
H3,Actual,PC12,CPT6,0.0005468629011764724
H3,Actual,PC12,CPT7,0.0013126381572363675
H3,Actual,PC12,CPT8,0.0012691505896280856
H3,Actual,PC12,CPT9,0.0017578294678969057
H3,Actual,PC12,CPT10,0.0008233466898617198
H3,Actual,PC12,CPT11,0.0007003208086230306
H3,Actual,PC12,CPT12,0.001599878254851608
H3,Actual,PC12,CPT13,0.002305911333077427
H3,Actual,PC12,CPT15,0.0016443583195975954
H3,Actual,PC12,CPT16,0.001857804453668828
H3,Actual,PC12,GLOBAL,0.0018768573127373022
H3,Linear,PC12,CPT2,0.008837815300683182
H3,Linear,PC12,CPT3,0.00295203693188962
H3,Linear,PC12,CPT4,0.0021422049879315478
H3,Linear,PC12,CPT5,0.0030588622255599955
H3,Linear,PC12,CPT6,0.002857041455221874
H3,Linear,PC12,CPT7,0.0018879221482810697
H3,Linear,PC12,CPT8,0.0015444484056716533
H3,Linear,PC12,CPT9,0.004398232513906643
H3,Linear,PC12,CPT10,0.002682321125363148
H3,Linear,PC12,CPT11,0.004848934779376913
H3,Linear,PC12,CPT12,0.0017904110342323947
H3,Linear,PC12,CPT13,0.0032373681933948167
H3,Linear,PC12,CPT15,0.0029764233697434942
H3,Linear,PC12,CPT16,0.0029774313180931117
H3,Linear,PC12,GLOBAL,0.003709659029772577
H3,Quadratic,PC12,CPT2,0.006974721398103931
H3,Quadratic,PC12,CPT3,0.00287630923516053
H3,Quadratic,PC12,CPT4,0.002551711162920049
H3,Quadratic,PC12,CPT5,0.0015308380613622628
